Date,Type,Link
2025-08-14 14:48:19,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7358161576794738692?commentUrn=urn%3Ali%3Acomment%3A%28ugcPost%3A7358161576794738692%2C7361768536790188034%29
2025-08-11 20:18:05,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7360742543313051648
2025-08-11 12:54:07,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7358161576794738692?commentUrn=urn%3Ali%3Acomment%3A%28ugcPost%3A7358161576794738692%2C7360519807810588672%29
2025-08-06 17:59:18,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7358870275603554305
2025-08-06 16:35:31,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7358161576794738692?commentUrn=urn%3Ali%3Acomment%3A%28ugcPost%3A7358161576794738692%2C7358879395098345472%29
2025-08-06 10:34:50,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7358774362167988224
2025-08-06 00:28:09,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7358161576794738692?commentUrn=urn%3Ali%3Acomment%3A%28ugcPost%3A7358161576794738692%2C7358646349552103424%29
2025-08-05 22:57:47,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7356335847614402560
2025-08-05 21:10:13,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7358161576794738692?commentUrn=urn%3Ali%3Acomment%3A%28ugcPost%3A7358161576794738692%2C7358596782227927040%29
2025-08-05 15:56:31,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7358161576794738692?commentUrn=urn%3Ali%3Acomment%3A%28ugcPost%3A7358161576794738692%2C7358522972216705027%29
2025-08-05 15:56:30,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7358161576794738692?commentUrn=urn%3Ali%3Acomment%3A%28ugcPost%3A7358161576794738692%2C7358524905232982019%29
2025-08-05 00:02:16,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7358161576794738692?commentUrn=urn%3Ali%3Acomment%3A%28ugcPost%3A7358161576794738692%2C7358230467331907585%29
2025-08-05 00:02:13,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7358161576794738692?commentUrn=urn%3Ali%3Acomment%3A%28ugcPost%3A7358161576794738692%2C7358193497906069505%29
2025-08-05 00:02:11,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7358161576794738692?commentUrn=urn%3Ali%3Acomment%3A%28ugcPost%3A7358161576794738692%2C7358162131919216642%29
2025-08-04 23:09:54,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7358161576794738692?commentUrn=urn%3Ali%3Acomment%3A%28ugcPost%3A7358161576794738692%2C7358260551904366592%29
